Topic,URLA,URLB,Similarity,Intent,Recommendation
"Guiando tem 20 vagas abertas 100% remoto | Blog Mclair","https://mclair.com.br/blog/guiando-tem-20-vagas-abertas-100-remoto-1/","https://mclair.com.br/blog/guiando-tem-20-vagas-abertas-100-remoto/","1.00","mesma tipologia","revisar títulos, possível sobreposição"
"Case Insight RH | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/insight-rh/","https://mclair.com.br/cases/vip-leiloes/","0.75","mesma tipologia","monitorar"
"Case Zbra | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/insight-rh/","https://mclair.com.br/cases/zbra/","0.75","mesma tipologia","monitorar"
"Case Lambda3 | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/lambda3/","https://mclair.com.br/cases/vip-leiloes/","0.75","mesma tipologia","monitorar"
"Case Zbra | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/lambda3/","https://mclair.com.br/cases/zbra/","0.75","mesma tipologia","monitorar"
"Case Zbra | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/vip-leiloes/","https://mclair.com.br/cases/zbra/","0.75","mesma tipologia","monitorar"
"GPTW: Lambda3 está entre as melhores empresas do Bra… | Mclair","https://mclair.com.br/blog/gptw-lambda3-e-uma-das-melhores-empresas-de-t-i-para-trabalhar/","https://mclair.com.br/blog/gptw-lambda3-esta-entre-as-melhores-empresas-do-brasil/","0.71","mesma tipologia","monitorar"
"Marketing Digital | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/servicos/marketing-de-autoridade/","https://mclair.com.br/servicos/marketing-digital/","0.71","mesma tipologia","monitorar"
"O | Blog Mclair","https://mclair.com.br/blog/a-tal-primeira-vez/","https://mclair.com.br/blog/o/","0.67","mesma tipologia","monitorar"
"Sem G, não dá! | Blog Mclair","https://mclair.com.br/blog/a-tal-primeira-vez/","https://mclair.com.br/blog/sem-g-nao-da/","0.67","mesma tipologia","monitorar"
"Exportações de máquinas e equipamentos brasileiros g… | Mclair","https://mclair.com.br/blog/exportacoes-brasileiras-de-maquinas-e-equipamentos-a-paises-latinos-so/","https://mclair.com.br/blog/exportacoes-de-maquinas-e-equipamentos-brasileiros-ganham-visibilidade/","0.67","mesma tipologia","monitorar"
"Lambda3 abre 28 vagas para desenvolvedores | Blog Mclair","https://mclair.com.br/blog/lambda3-abre-28-vagas-para-desenvolvedores/","https://mclair.com.br/blog/lambda3-abre-vagas-para-times-de-tecnologia/","0.67","mesma tipologia","monitorar"
"Case Elemar Jr. | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/alexandre-magno/","https://mclair.com.br/cases/elemar-jr/","0.67","mesma tipologia","monitorar"
"Case Insight RH | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/alexandre-magno/","https://mclair.com.br/cases/insight-rh/","0.67","mesma tipologia","monitorar"
"Case Lambda3 | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/alexandre-magno/","https://mclair.com.br/cases/lambda3/","0.67","mesma tipologia","monitorar"
"Case VIP Leilões | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/alexandre-magno/","https://mclair.com.br/cases/vip-leiloes/","0.67","mesma tipologia","monitorar"
"Case Zbra | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/alexandre-magno/","https://mclair.com.br/cases/zbra/","0.67","mesma tipologia","monitorar"
"Case Elemar Jr. | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/bms-abimaq/","https://mclair.com.br/cases/elemar-jr/","0.67","mesma tipologia","monitorar"
"Case Insight RH | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/bms-abimaq/","https://mclair.com.br/cases/insight-rh/","0.67","mesma tipologia","monitorar"
"Case Lambda3 | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/bms-abimaq/","https://mclair.com.br/cases/lambda3/","0.67","mesma tipologia","monitorar"
"Case VIP Leilões | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/bms-abimaq/","https://mclair.com.br/cases/vip-leiloes/","0.67","mesma tipologia","monitorar"
"Case Zbra | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/bms-abimaq/","https://mclair.com.br/cases/zbra/","0.67","mesma tipologia","monitorar"
"Case Elemar Jr. | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/claudia-elisa/","https://mclair.com.br/cases/elemar-jr/","0.67","mesma tipologia","monitorar"
"Case Insight RH | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/claudia-elisa/","https://mclair.com.br/cases/insight-rh/","0.67","mesma tipologia","monitorar"
"Case Lambda3 | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/claudia-elisa/","https://mclair.com.br/cases/lambda3/","0.67","mesma tipologia","monitorar"
"Case VIP Leilões | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/claudia-elisa/","https://mclair.com.br/cases/vip-leiloes/","0.67","mesma tipologia","monitorar"
"Case Zbra | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/claudia-elisa/","https://mclair.com.br/cases/zbra/","0.67","mesma tipologia","monitorar"
"Case Elemar Jr. | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/diego-nogare/","https://mclair.com.br/cases/elemar-jr/","0.67","mesma tipologia","monitorar"
"Case Insight RH | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/diego-nogare/","https://mclair.com.br/cases/insight-rh/","0.67","mesma tipologia","monitorar"
"Case Lambda3 | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/diego-nogare/","https://mclair.com.br/cases/lambda3/","0.67","mesma tipologia","monitorar"
"Case VIP Leilões | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/diego-nogare/","https://mclair.com.br/cases/vip-leiloes/","0.67","mesma tipologia","monitorar"
"Case Zbra | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/diego-nogare/","https://mclair.com.br/cases/zbra/","0.67","mesma tipologia","monitorar"
"Case Elemar Jr. | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/elemar-jr/","https://mclair.com.br/cases/fidalgo/","0.67","mesma tipologia","monitorar"
"Case Elemar Jr. | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/elemar-jr/","https://mclair.com.br/cases/globo-leiloes/","0.67","mesma tipologia","monitorar"
"Case Elemar Jr. | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/elemar-jr/","https://mclair.com.br/cases/nexinvoice/","0.67","mesma tipologia","monitorar"
"Case Elemar Jr. | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/elemar-jr/","https://mclair.com.br/cases/silene-chiconini/","0.67","mesma tipologia","monitorar"
"Case Insight RH | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/fidalgo/","https://mclair.com.br/cases/insight-rh/","0.67","mesma tipologia","monitorar"
"Case Lambda3 | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/fidalgo/","https://mclair.com.br/cases/lambda3/","0.67","mesma tipologia","monitorar"
"Case Zbra | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/fidalgo/","https://mclair.com.br/cases/zbra/","0.67","mesma tipologia","monitorar"
"Case Insight RH | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/globo-leiloes/","https://mclair.com.br/cases/insight-rh/","0.67","mesma tipologia","monitorar"
"Case Lambda3 | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/globo-leiloes/","https://mclair.com.br/cases/lambda3/","0.67","mesma tipologia","monitorar"
"Case Zbra | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/globo-leiloes/","https://mclair.com.br/cases/zbra/","0.67","mesma tipologia","monitorar"
"Case Insight RH | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/insight-rh/","https://mclair.com.br/cases/nexinvoice/","0.67","mesma tipologia","monitorar"
"Case Insight RH | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/insight-rh/","https://mclair.com.br/cases/silene-chiconini/","0.67","mesma tipologia","monitorar"
"Case Lambda3 | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/lambda3/","https://mclair.com.br/cases/nexinvoice/","0.67","mesma tipologia","monitorar"
"Case Lambda3 | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/lambda3/","https://mclair.com.br/cases/silene-chiconini/","0.67","mesma tipologia","monitorar"
"Case VIP Leilões | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/nexinvoice/","https://mclair.com.br/cases/vip-leiloes/","0.67","mesma tipologia","monitorar"
"Case Zbra | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/nexinvoice/","https://mclair.com.br/cases/zbra/","0.67","mesma tipologia","monitorar"
"Case VIP Leilões | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/silene-chiconini/","https://mclair.com.br/cases/vip-leiloes/","0.67","mesma tipologia","monitorar"
"Case Zbra | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/silene-chiconini/","https://mclair.com.br/cases/zbra/","0.67","mesma tipologia","monitorar"
"Marketing de Autoridade | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/cases/elemar-jr/","https://mclair.com.br/servicos/marketing-de-autoridade/","0.63","case vs servico","monitorar"
"Marketing de Autoridade | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/cases/insight-rh/","https://mclair.com.br/servicos/marketing-de-autoridade/","0.63","case vs servico","monitorar"
"Marketing de Autoridade | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/cases/lambda3/","https://mclair.com.br/servicos/marketing-de-autoridade/","0.63","case vs servico","monitorar"
"Marketing de Autoridade | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/cases/vip-leiloes/","https://mclair.com.br/servicos/marketing-de-autoridade/","0.63","case vs servico","monitorar"
"Marketing de Autoridade | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/cases/zbra/","https://mclair.com.br/servicos/marketing-de-autoridade/","0.63","case vs servico","monitorar"
"Case Alexandre Magno | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/alexandre-magno/","https://mclair.com.br/cases/bms-abimaq/","0.60","mesma tipologia","monitorar"
"Case Claudia Elisa | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/alexandre-magno/","https://mclair.com.br/cases/claudia-elisa/","0.60","mesma tipologia","monitorar"
"Case Diego Nogare | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/alexandre-magno/","https://mclair.com.br/cases/diego-nogare/","0.60","mesma tipologia","monitorar"
"Case Fidalgo Leilões | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/alexandre-magno/","https://mclair.com.br/cases/fidalgo/","0.60","mesma tipologia","monitorar"
"Case Globo Leilões | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/alexandre-magno/","https://mclair.com.br/cases/globo-leiloes/","0.60","mesma tipologia","monitorar"
"Case Alexandre Magno | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/alexandre-magno/","https://mclair.com.br/cases/nexinvoice/","0.60","mesma tipologia","monitorar"
"Case Alexandre Magno | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/alexandre-magno/","https://mclair.com.br/cases/silene-chiconini/","0.60","mesma tipologia","monitorar"
"Case Claudia Elisa | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/bms-abimaq/","https://mclair.com.br/cases/claudia-elisa/","0.60","mesma tipologia","monitorar"
"Case Diego Nogare | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/bms-abimaq/","https://mclair.com.br/cases/diego-nogare/","0.60","mesma tipologia","monitorar"
"Case Fidalgo Leilões | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/bms-abimaq/","https://mclair.com.br/cases/fidalgo/","0.60","mesma tipologia","monitorar"
"Case Globo Leilões | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/bms-abimaq/","https://mclair.com.br/cases/globo-leiloes/","0.60","mesma tipologia","monitorar"
"Case Guiando / nexinvoice | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/bms-abimaq/","https://mclair.com.br/cases/nexinvoice/","0.60","mesma tipologia","monitorar"
"Case Silene Chiconini | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/bms-abimaq/","https://mclair.com.br/cases/silene-chiconini/","0.60","mesma tipologia","monitorar"
"Case Diego Nogare | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/claudia-elisa/","https://mclair.com.br/cases/diego-nogare/","0.60","mesma tipologia","monitorar"
"Case Claudia Elisa | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/claudia-elisa/","https://mclair.com.br/cases/fidalgo/","0.60","mesma tipologia","monitorar"
"Case Globo Leilões | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/claudia-elisa/","https://mclair.com.br/cases/globo-leiloes/","0.60","mesma tipologia","monitorar"
"Case Claudia Elisa | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/claudia-elisa/","https://mclair.com.br/cases/nexinvoice/","0.60","mesma tipologia","monitorar"
"Case Claudia Elisa | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/claudia-elisa/","https://mclair.com.br/cases/silene-chiconini/","0.60","mesma tipologia","monitorar"
"Case Diego Nogare | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/diego-nogare/","https://mclair.com.br/cases/fidalgo/","0.60","mesma tipologia","monitorar"
"Case Diego Nogare | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/diego-nogare/","https://mclair.com.br/cases/globo-leiloes/","0.60","mesma tipologia","monitorar"
"Case Diego Nogare | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/diego-nogare/","https://mclair.com.br/cases/nexinvoice/","0.60","mesma tipologia","monitorar"
"Case Diego Nogare | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/diego-nogare/","https://mclair.com.br/cases/silene-chiconini/","0.60","mesma tipologia","monitorar"
"Case Fidalgo Leilões | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/fidalgo/","https://mclair.com.br/cases/nexinvoice/","0.60","mesma tipologia","monitorar"
"Case Fidalgo Leilões | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/fidalgo/","https://mclair.com.br/cases/silene-chiconini/","0.60","mesma tipologia","monitorar"
"Case Globo Leilões | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/globo-leiloes/","https://mclair.com.br/cases/nexinvoice/","0.60","mesma tipologia","monitorar"
"Case Globo Leilões | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/globo-leiloes/","https://mclair.com.br/cases/silene-chiconini/","0.60","mesma tipologia","monitorar"
"Case Silene Chiconini | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/nexinvoice/","https://mclair.com.br/cases/silene-chiconini/","0.60","mesma tipologia","monitorar"
"Mineração: indústria de máquinas e equipamentos esti… | Mclair","https://mclair.com.br/blog/exportacao-industria-de-maquinas-e-equipamentos-estima-faturamento-de-/","https://mclair.com.br/blog/mineracao-industria-de-maquinas-e-equipamentos-estima-us-11-6-milhoes-/","0.57","mesma tipologia","monitorar"
"Leilão da Justiça Federal tem imóveis no ABC e veícu… | Mclair","https://mclair.com.br/blog/justica-federal-leilao-com-descontos-de-ate-50-oferece-imoveis-e-veicu/","https://mclair.com.br/blog/leilao-da-justica-federal-tem-imoveis-no-abc-e-veiculos-com-50-de-desc/","0.57","mesma tipologia","monitorar"
"Leilão da Justiça Federal tem lacnha a partir de R$… | Mclair","https://mclair.com.br/blog/justica-federal-leilao-com-descontos-de-ate-50-oferece-imoveis-e-veicu/","https://mclair.com.br/blog/leilao-da-justica-federal-tem-lacnha-a-partir-de-r-25-mil-e-imoveis-co/","0.57","mesma tipologia","monitorar"
"Mclair Comunicação é a nova assessoria de imprensa d… | Mclair","https://mclair.com.br/blog/mclair-comunicacao-e-a-nova-assessoria-de-imprensa-do-programa-brazil-/","https://mclair.com.br/servicos/assessoria-de-imprensa/","0.57","blog-post vs servico","monitorar"
"Assessoria de Imprensa | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/servicos/assessoria-de-imprensa/","https://mclair.com.br/servicos/consultoria-em-comunicacao/","0.57","mesma tipologia","monitorar"
"Branding Estratégico | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/servicos/branding-estrategico/","https://mclair.com.br/servicos/consultoria-em-comunicacao/","0.57","mesma tipologia","monitorar"
"Marketing de Autoridade | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/servicos/consultoria-em-comunicacao/","https://mclair.com.br/servicos/marketing-de-autoridade/","0.57","mesma tipologia","monitorar"
"Marketing Digital | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/servicos/consultoria-em-comunicacao/","https://mclair.com.br/servicos/marketing-digital/","0.57","mesma tipologia","monitorar"
"Mentorias Exclusivas | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/servicos/consultoria-em-comunicacao/","https://mclair.com.br/servicos/mentorias-exclusivas/","0.57","mesma tipologia","monitorar"
"5 séries e filmes impactantes sobre ESG para maraton… | Mclair","https://mclair.com.br/blog/4-filmes-e-series-sobre-tecnologia-para-maratonar-nas-ferias/","https://mclair.com.br/blog/5-series-e-filmes-impactantes-sobre-esg-para-maratonar-no-feriado/","0.56","mesma tipologia","monitorar"
"Marketing de Autoridade | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/cases/alexandre-magno/","https://mclair.com.br/servicos/marketing-de-autoridade/","0.56","case vs servico","monitorar"
"Marketing de Autoridade | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/cases/bms-abimaq/","https://mclair.com.br/servicos/marketing-de-autoridade/","0.56","case vs servico","monitorar"
"Marketing de Autoridade | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/cases/claudia-elisa/","https://mclair.com.br/servicos/marketing-de-autoridade/","0.56","case vs servico","monitorar"
"Marketing de Autoridade | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/cases/diego-nogare/","https://mclair.com.br/servicos/marketing-de-autoridade/","0.56","case vs servico","monitorar"
"Marketing de Autoridade | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/cases/fidalgo/","https://mclair.com.br/servicos/marketing-de-autoridade/","0.56","case vs servico","monitorar"
"Marketing de Autoridade | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/cases/globo-leiloes/","https://mclair.com.br/servicos/marketing-de-autoridade/","0.56","case vs servico","monitorar"
"Marketing de Autoridade | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/cases/nexinvoice/","https://mclair.com.br/servicos/marketing-de-autoridade/","0.56","case vs servico","monitorar"
"Marketing de Autoridade | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/cases/silene-chiconini/","https://mclair.com.br/servicos/marketing-de-autoridade/","0.56","case vs servico","monitorar"
"4 características comuns em produtos na era da | Blog Mclair","https://mclair.com.br/blog/4-caracteristicas-comuns-em-produtos-na-era-da/","https://mclair.com.br/blog/4-erros-comuns-ao-implementar-produtos-digitais/","0.50","mesma tipologia","monitorar"
"5 desafios para área de Dados e IA | Blog Mclair","https://mclair.com.br/blog/5-desafios-para-area-de-dados-e-ia/","https://mclair.com.br/blog/os-desafios-e-impactos-do-5g-para-o-mercado/","0.50","mesma tipologia","monitorar"
"Leilão da Justiça Federal tem imóveis no ABC e veícu… | Mclair","https://mclair.com.br/blog/de-imoveis-a-veiculos-o-leilao-da-justica-do-trabalho-de-sp-oferece-va/","https://mclair.com.br/blog/leilao-da-justica-federal-tem-imoveis-no-abc-e-veiculos-com-50-de-desc/","0.50","mesma tipologia","monitorar"
"Guiando está entre as melhores empresas para trabalh… | Mclair","https://mclair.com.br/blog/gptw-lambda3-esta-entre-as-melhores-empresas-do-brasil/","https://mclair.com.br/blog/guiando-esta-entre-as-melhores-empresas-para-trabalhar-em-mg-segundo-g/","0.50","mesma tipologia","monitorar"
"Leilão da Justiça Federal tem lacnha a partir de R$… | Mclair","https://mclair.com.br/blog/leilao-da-justica-federal-tem-imoveis-no-abc-e-veiculos-com-50-de-desc/","https://mclair.com.br/blog/leilao-da-justica-federal-tem-lacnha-a-partir-de-r-25-mil-e-imoveis-co/","0.50","mesma tipologia","monitorar"
"O | Blog Mclair","https://mclair.com.br/blog/o-growth-e-eu-acelerando/","https://mclair.com.br/blog/o/","0.50","mesma tipologia","monitorar"
"Sem G, não dá! | Blog Mclair","https://mclair.com.br/blog/o-growth-e-eu-acelerando/","https://mclair.com.br/blog/sem-g-nao-da/","0.50","mesma tipologia","monitorar"
"Clientes | Mclair Comunicação Estratégica","https://mclair.com.br/clientes/","https://mclair.com.br/servicos/consultoria-em-comunicacao/","0.50","institucional vs servico","monitorar"
"Branding Estratégico | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/servicos/assessoria-de-imprensa/","https://mclair.com.br/servicos/branding-estrategico/","0.50","mesma tipologia","monitorar"
"Assessoria de Imprensa | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/servicos/assessoria-de-imprensa/","https://mclair.com.br/servicos/marketing-de-autoridade/","0.50","mesma tipologia","monitorar"
"Marketing Digital | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/servicos/assessoria-de-imprensa/","https://mclair.com.br/servicos/marketing-digital/","0.50","mesma tipologia","monitorar"
"Mentorias Exclusivas | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/servicos/assessoria-de-imprensa/","https://mclair.com.br/servicos/mentorias-exclusivas/","0.50","mesma tipologia","monitorar"
"Branding Estratégico | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/servicos/branding-estrategico/","https://mclair.com.br/servicos/marketing-de-autoridade/","0.50","mesma tipologia","monitorar"
"Marketing Digital | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/servicos/branding-estrategico/","https://mclair.com.br/servicos/marketing-digital/","0.50","mesma tipologia","monitorar"
"Mentorias Exclusivas | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/servicos/branding-estrategico/","https://mclair.com.br/servicos/mentorias-exclusivas/","0.50","mesma tipologia","monitorar"
"Mentorias Exclusivas | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/servicos/marketing-de-autoridade/","https://mclair.com.br/servicos/mentorias-exclusivas/","0.50","mesma tipologia","monitorar"
"Marketing Digital | Mclair: Agência de Comunicação Estratégica","https://mclair.com.br/servicos/marketing-digital/","https://mclair.com.br/servicos/mentorias-exclusivas/","0.50","mesma tipologia","monitorar"
